Character 1,Weight 1,Acceleration 1,Top Speed 1,Handling 1,On Road Traction 1,Mini Turbo 1,Character 2,Weight 2,Acceleration 2,Top Speed 2,Handling 2,On Road Traction 2,Mini Turbo 2,Map,Outcome,Effective Acceleration 1,Effective Acceleration 2,Effective Speed 1,Effective Speed 2,Power-Ups 1,Power-Ups 2
princess_peach,4,3,6,5,3,4,koopa_troopa,2,4,3,8,1,4,rainbow_road,princess_peach,2.5,3.5,4.800000000000001,2.4000000000000004,banana_peel,thunderbolt
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,choco_island,bowser,1.3000000000000003,0,5.6000000000000005,8.0,,
princess_peach,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,choco_island,donkey_kong_jr,2.3,0.30000000000000004,4.800000000000001,8.0,"star, thunderbolt, star","coin, feather"
bowser,10,0,10,0,6,0,toad,3,4,4,7,3,4,donut_plains,bowser,0,3.1999999999999997,8.0,3.2,"feather, mushroom, red_shell",
yoshi,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,choco_island,donkey_kong_jr,2.3,0.30000000000000004,4.800000000000001,8.0,"red_shell, star",thunderbolt
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,koopa_beach,bowser,1.3000000000000003,0,7.3,10.5,"feather, thunderbolt, thunderbolt",thunderbolt
yoshi,4,3,6,5,3,4,mario,6,2,7,4,4,3,rainbow_road,yoshi,2.5,1.5,4.800000000000001,5.6000000000000005,red_shell,"star, thunderbolt"
koopa_troopa,2,4,3,8,1,4,mario,6,2,7,4,4,3,choco_island,mario,3.3,1.3000000000000003,2.4000000000000004,5.6000000000000005,coin,"mushroom, coin, thunderbolt"
bowser,10,0,10,0,6,0,koopa_troopa,2,4,3,8,1,4,choco_island,bowser,0,3.3,8.0,2.4000000000000004,mushroom,red_shell
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,"star, banana_peel","star, coin"
princess_peach,4,3,6,5,3,4,bowser,10,0,10,0,6,0,rainbow_road,princess_peach,2.5,0,4.800000000000001,8.0,"mushroom, red_shell","banana_peel, mushroom"
mario,6,2,7,4,4,3,princess_peach,4,3,6,5,3,4,choco_island,princess_peach,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,"star, red_shell, thunderbolt",coin
mario,6,2,7,4,4,3,princess_peach,4,3,6,5,3,4,rainbow_road,princess_peach,1.5,2.5,5.6000000000000005,4.800000000000001,"feather, star","mushroom, thunderbolt, feather"
luigi,6,2,7,5,5,3,koopa_troopa,2,4,3,8,1,4,choco_island,luigi,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,"feather, star","thunderbolt, feather, thunderbolt"
luigi,6,2,7,5,5,3,koopa_troopa,2,4,3,8,1,4,vanilla_lake,luigi,1.4,3.4,7.3,3.1,"feather, mushroom",
donkey_kong_jr,8,1,10,2,10,1,toad,3,4,4,7,3,4,choco_island,donkey_kong_jr,0.30000000000000004,3.3000000000000003,8.0,3.2,,"coin, green_shell"
bowser,10,0,10,0,6,0,princess_peach,4,3,6,5,3,4,rainbow_road,princess_peach,0,2.5,8.0,4.800000000000001,red_shell,
yoshi,4,3,6,5,3,4,bowser,10,0,10,0,6,0,vanilla_lake,bowser,2.4,0,6.2,10.5,coin,feather
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,choco_island,bowser,1.3000000000000003,0,5.6000000000000005,8.0,red_shell,"mushroom, coin"
koopa_troopa,2,4,3,8,1,4,yoshi,4,3,6,5,3,4,choco_island,yoshi,3.3,2.3,2.4000000000000004,4.800000000000001,"red_shell, coin, star",feather
toad,3,4,4,7,3,4,koopa_troopa,2,4,3,8,1,4,koopa_beach,toad,3.3000000000000003,3.3,4.15,3.1,"red_shell, star",star
koopa_troopa,2,4,3,8,1,4,bowser,10,0,10,0,6,0,rainbow_road,bowser,3.5,0,2.4000000000000004,8.0,"thunderbolt, mushroom",
luigi,6,2,7,5,5,3,mario,6,2,7,4,4,3,donut_plains,Tie,1.1999999999999997,1.1999999999999997,5.6000000000000005,5.6000000000000005,thunderbolt,star
princess_peach,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,2.3,0.30000000000000004,6.2,10.4,"red_shell, thunderbolt",feather
luigi,6,2,7,5,5,3,toad,3,4,4,7,3,4,vanilla_lake,luigi,1.4,3.4,7.3,4.15,banana_peel,star
princess_peach,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,choco_island,donkey_kong_jr,2.3,0.30000000000000004,4.800000000000001,8.0,feather,"thunderbolt, star"
luigi,6,2,7,5,5,3,mario,6,2,7,4,4,3,choco_island,luigi,1.3000000000000003,1.3000000000000003,5.6000000000000005,5.6000000000000005,red_shell,
bowser,10,0,10,0,6,0,donkey_kong_jr,8,1,10,2,10,1,vanilla_lake,donkey_kong_jr,0,0.4,10.5,10.4,"feather, coin","thunderbolt, star"
donkey_kong_jr,8,1,10,2,10,1,luigi,6,2,7,5,5,3,vanilla_lake,donkey_kong_jr,0.4,1.4,10.4,7.3,"star, thunderbolt","thunderbolt, feather, star"
yoshi,4,3,6,5,3,4,mario,6,2,7,4,4,3,rainbow_road,yoshi,2.5,1.5,4.800000000000001,5.6000000000000005,red_shell,
toad,3,4,4,7,3,4,donkey_kong_jr,8,1,10,2,10,1,rainbow_road,donkey_kong_jr,3.5,0.5,3.2,8.0,,mushroom
bowser,10,0,10,0,6,0,toad,3,4,4,7,3,4,koopa_beach,bowser,0,3.3000000000000003,10.5,4.15,feather,
toad,3,4,4,7,3,4,yoshi,4,3,6,5,3,4,rainbow_road,yoshi,3.5,2.5,3.2,4.800000000000001,"mushroom, feather","green_shell, thunderbolt"
donkey_kong_jr,8,1,10,2,10,1,princess_peach,4,3,6,5,3,4,donut_plains,donkey_kong_jr,0.19999999999999996,2.2,8.0,4.800000000000001,"feather, red_shell",green_shell
koopa_troopa,2,4,3,8,1,4,donkey_kong_jr,8,1,10,2,10,1,vanilla_lake,donkey_kong_jr,3.4,0.4,3.1,10.4,"mushroom, thunderbolt",
donkey_kong_jr,8,1,10,2,10,1,mario,6,2,7,4,4,3,donut_plains,donkey_kong_jr,0.19999999999999996,1.1999999999999997,8.0,5.6000000000000005,"feather, red_shell","feather, green_shell"
princess_peach,4,3,6,5,3,4,luigi,6,2,7,5,5,3,koopa_beach,luigi,2.3,1.3000000000000003,6.2,7.3,star,star
mario,6,2,7,4,4,3,bowser,10,0,10,0,6,0,koopa_beach,bowser,1.3000000000000003,0,7.3,10.5,"star, star","red_shell, star"
luigi,6,2,7,5,5,3,mario,6,2,7,4,4,3,donut_plains,mario,1.1999999999999997,1.1999999999999997,5.6000000000000005,5.6000000000000005,star,"star, feather"
yoshi,4,3,6,5,3,4,mario,6,2,7,4,4,3,rainbow_road,yoshi,2.5,1.5,4.800000000000001,5.6000000000000005,feather,feather
yoshi,4,3,6,5,3,4,bowser,10,0,10,0,6,0,donut_plains,yoshi,2.2,0,4.800000000000001,8.0,"banana_peel, feather, green_shell",feather
koopa_troopa,2,4,3,8,1,4,princess_peach,4,3,6,5,3,4,vanilla_lake,princess_peach,3.4,2.4,3.1,6.2,thunderbolt,red_shell
donkey_kong_jr,8,1,10,2,10,1,koopa_troopa,2,4,3,8,1,4,vanilla_lake,donkey_kong_jr,0.4,3.4,10.4,3.1,"red_shell, feather, mushroom","red_shell, star"
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,koopa_beach,princess_peach,2.3,3.3000000000000003,6.2,4.15,,
luigi,6,2,7,5,5,3,yoshi,4,3,6,5,3,4,donut_plains,yoshi,1.1999999999999997,2.2,5.6000000000000005,4.800000000000001,"mushroom, mushroom","mushroom, mushroom, star"
yoshi,4,3,6,5,3,4,bowser,10,0,10,0,6,0,donut_plains,yoshi,2.2,0,4.800000000000001,8.0,"feather, thunderbolt, mushroom","thunderbolt, star"
toad,3,4,4,7,3,4,yoshi,4,3,6,5,3,4,vanilla_lake,yoshi,3.4,2.4,4.15,6.2,"coin, feather","star, star, feather"
bowser,10,0,10,0,6,0,mario,6,2,7,4,4,3,vanilla_lake,bowser,0,1.4,10.5,7.3,"red_shell, banana_peel","banana_peel, mushroom"
yoshi,4,3,6,5,3,4,princess_peach,4,3,6,5,3,4,donut_plains,yoshi,2.2,2.2,4.800000000000001,4.800000000000001,"thunderbolt, thunderbolt, banana_peel",mushroom
toad,3,4,4,7,3,4,koopa_troopa,2,4,3,8,1,4,rainbow_road,toad,3.5,3.5,3.2,2.4000000000000004,coin,green_shell
princess_peach,4,3,6,5,3,4,yoshi,4,3,6,5,3,4,choco_island,princess_peach,2.3,2.3,4.800000000000001,4.800000000000001,thunderbolt,red_shell
donkey_kong_jr,8,1,10,2,10,1,yoshi,4,3,6,5,3,4,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,"star, feather",star
toad,3,4,4,7,3,4,yoshi,4,3,6,5,3,4,koopa_beach,yoshi,3.3000000000000003,2.3,4.15,6.2,coin,
mario,6,2,7,4,4,3,yoshi,4,3,6,5,3,4,donut_plains,yoshi,1.1999999999999997,2.2,5.6000000000000005,4.800000000000001,mushroom,"thunderbolt, feather"
princess_peach,4,3,6,5,3,4,mario,6,2,7,4,4,3,donut_plains,princess_peach,2.2,1.1999999999999997,4.800000000000001,5.6000000000000005,"thunderbolt, mushroom",thunderbolt
koopa_troopa,2,4,3,8,1,4,yoshi,4,3,6,5,3,4,rainbow_road,yoshi,3.5,2.5,2.4000000000000004,4.800000000000001,star,star
koopa_troopa,2,4,3,8,1,4,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,3.3,0.30000000000000004,3.1,10.4,"star, coin","red_shell, red_shell"
mario,6,2,7,4,4,3,bowser,10,0,10,0,6,0,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,"banana_peel, green_shell",
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,rainbow_road,toad,2.5,3.5,4.800000000000001,3.2,green_shell,"coin, red_shell, green_shell"
koopa_troopa,2,4,3,8,1,4,toad,3,4,4,7,3,4,donut_plains,toad,3.2,3.1999999999999997,2.4000000000000004,3.2,feather,mushroom
mario,6,2,7,4,4,3,koopa_troopa,2,4,3,8,1,4,rainbow_road,koopa_troopa,1.5,3.5,5.6000000000000005,2.4000000000000004,,"green_shell, red_shell, thunderbolt"
yoshi,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,2.3,0.30000000000000004,6.2,10.4,red_shell,"thunderbolt, red_shell, coin"
yoshi,4,3,6,5,3,4,toad,3,4,4,7,3,4,rainbow_road,yoshi,2.5,3.5,4.800000000000001,3.2,"star, mushroom","feather, thunderbolt"
koopa_troopa,2,4,3,8,1,4,yoshi,4,3,6,5,3,4,donut_plains,yoshi,3.2,2.2,2.4000000000000004,4.800000000000001,star,"mushroom, thunderbolt"
princess_peach,4,3,6,5,3,4,bowser,10,0,10,0,6,0,choco_island,Tie,2.3,0,4.800000000000001,8.0,,"star, star"
donkey_kong_jr,8,1,10,2,10,1,yoshi,4,3,6,5,3,4,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,,mushroom
bowser,10,0,10,0,6,0,princess_peach,4,3,6,5,3,4,donut_plains,princess_peach,0,2.2,8.0,4.800000000000001,"mushroom, red_shell, thunderbolt","feather, mushroom"
bowser,10,0,10,0,6,0,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,0,0.30000000000000004,10.5,10.4,,"star, mushroom, star"
mario,6,2,7,4,4,3,yoshi,4,3,6,5,3,4,donut_plains,yoshi,1.1999999999999997,2.2,5.6000000000000005,4.800000000000001,"thunderbolt, mushroom, red_shell",mushroom
mario,6,2,7,4,4,3,toad,3,4,4,7,3,4,koopa_beach,mario,1.3000000000000003,3.3000000000000003,7.3,4.15,"feather, feather",thunderbolt
bowser,10,0,10,0,6,0,yoshi,4,3,6,5,3,4,choco_island,yoshi,0,2.3,8.0,4.800000000000001,thunderbolt,"red_shell, feather"
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,"feather, star, red_shell",star
bowser,10,0,10,0,6,0,mario,6,2,7,4,4,3,choco_island,bowser,0,1.3000000000000003,8.0,5.6000000000000005,,"coin, red_shell"
princess_peach,4,3,6,5,3,4,luigi,6,2,7,5,5,3,vanilla_lake,luigi,2.4,1.4,6.2,7.3,"thunderbolt, mushroom",mushroom
mario,6,2,7,4,4,3,princess_peach,4,3,6,5,3,4,choco_island,princess_peach,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,red_shell,
donkey_kong_jr,8,1,10,2,10,1,yoshi,4,3,6,5,3,4,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,star,"thunderbolt, red_shell, red_shell"
koopa_troopa,2,4,3,8,1,4,toad,3,4,4,7,3,4,choco_island,toad,3.3,3.3000000000000003,2.4000000000000004,3.2,red_shell,thunderbolt
mario,6,2,7,4,4,3,toad,3,4,4,7,3,4,koopa_beach,mario,1.3000000000000003,3.3000000000000003,7.3,4.15,,mushroom
mario,6,2,7,4,4,3,luigi,6,2,7,5,5,3,koopa_beach,mario,1.3000000000000003,1.3000000000000003,7.3,7.3,"star, star",star
bowser,10,0,10,0,6,0,donkey_kong_jr,8,1,10,2,10,1,vanilla_lake,donkey_kong_jr,0,0.4,10.5,10.4,thunderbolt,green_shell
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,koopa_beach,princess_peach,2.3,3.3000000000000003,6.2,4.15,"star, banana_peel","thunderbolt, coin"
toad,3,4,4,7,3,4,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,3.3000000000000003,0.30000000000000004,4.15,10.4,"thunderbolt, star, mushroom",star
mario,6,2,7,4,4,3,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,1.3000000000000003,0.30000000000000004,7.3,10.4,coin,"feather, mushroom"
luigi,6,2,7,5,5,3,koopa_troopa,2,4,3,8,1,4,choco_island,luigi,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,"red_shell, coin","mushroom, mushroom"
luigi,6,2,7,5,5,3,princess_peach,4,3,6,5,3,4,vanilla_lake,luigi,1.4,2.4,7.3,6.2,"feather, star","red_shell, red_shell"
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,koopa_beach,princess_peach,2.3,3.3000000000000003,6.2,4.15,"green_shell, feather","mushroom, feather"
princess_peach,4,3,6,5,3,4,koopa_troopa,2,4,3,8,1,4,rainbow_road,princess_peach,2.5,3.5,4.800000000000001,2.4000000000000004,"coin, feather","mushroom, red_shell, mushroom"
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,choco_island,princess_peach,2.3,3.3000000000000003,4.800000000000001,3.2,"thunderbolt, feather",
luigi,6,2,7,5,5,3,princess_peach,4,3,6,5,3,4,vanilla_lake,luigi,1.4,2.4,7.3,6.2,,"coin, thunderbolt, feather"
luigi,6,2,7,5,5,3,princess_peach,4,3,6,5,3,4,choco_island,princess_peach,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,"mushroom, coin","mushroom, thunderbolt"
toad,3,4,4,7,3,4,koopa_troopa,2,4,3,8,1,4,koopa_beach,toad,3.3000000000000003,3.3,4.15,3.1,,red_shell
mario,6,2,7,4,4,3,luigi,6,2,7,5,5,3,donut_plains,luigi,1.1999999999999997,1.1999999999999997,5.6000000000000005,5.6000000000000005,red_shell,feather
yoshi,4,3,6,5,3,4,bowser,10,0,10,0,6,0,choco_island,yoshi,2.3,0,4.800000000000001,8.0,"red_shell, star","mushroom, star"
toad,3,4,4,7,3,4,luigi,6,2,7,5,5,3,vanilla_lake,luigi,3.4,1.4,4.15,7.3,thunderbolt,
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,koopa_beach,bowser,1.3000000000000003,0,7.3,10.5,thunderbolt,
koopa_troopa,2,4,3,8,1,4,toad,3,4,4,7,3,4,koopa_beach,toad,3.3,3.3000000000000003,3.1,4.15,"red_shell, star","mushroom, mushroom"
luigi,6,2,7,5,5,3,toad,3,4,4,7,3,4,donut_plains,toad,1.1999999999999997,3.1999999999999997,5.6000000000000005,3.2,thunderbolt,"red_shell, feather"
luigi,6,2,7,5,5,3,toad,3,4,4,7,3,4,vanilla_lake,luigi,1.4,3.4,7.3,4.15,"feather, thunderbolt","coin, mushroom, green_shell"
princess_peach,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,2.3,0.30000000000000004,6.2,10.4,"feather, green_shell, star",thunderbolt
mario,6,2,7,4,4,3,donkey_kong_jr,8,1,10,2,10,1,koopa_beach,donkey_kong_jr,1.3000000000000003,0.30000000000000004,7.3,10.4,"feather, red_shell","red_shell, mushroom, mushroom"
mario,6,2,7,4,4,3,koopa_troopa,2,4,3,8,1,4,choco_island,mario,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,"coin, red_shell","banana_peel, feather, coin"
donkey_kong_jr,8,1,10,2,10,1,yoshi,4,3,6,5,3,4,rainbow_road,yoshi,0.5,2.5,8.0,4.800000000000001,,"coin, mushroom"
toad,3,4,4,7,3,4,yoshi,4,3,6,5,3,4,donut_plains,yoshi,3.1999999999999997,2.2,3.2,4.800000000000001,"feather, red_shell",star
princess_peach,4,3,6,5,3,4,mario,6,2,7,4,4,3,rainbow_road,princess_peach,2.5,1.5,4.800000000000001,5.6000000000000005,"star, star, red_shell",star
princess_peach,4,3,6,5,3,4,donkey_kong_jr,8,1,10,2,10,1,vanilla_lake,donkey_kong_jr,2.4,0.4,6.2,10.4,,"mushroom, thunderbolt"
yoshi,4,3,6,5,3,4,luigi,6,2,7,5,5,3,donut_plains,yoshi,2.2,1.1999999999999997,4.800000000000001,5.6000000000000005,red_shell,mushroom
donkey_kong_jr,8,1,10,2,10,1,bowser,10,0,10,0,6,0,choco_island,donkey_kong_jr,0.30000000000000004,0,8.0,8.0,mushroom,"star, thunderbolt"
koopa_troopa,2,4,3,8,1,4,bowser,10,0,10,0,6,0,donut_plains,bowser,3.2,0,2.4000000000000004,8.0,"red_shell, mushroom",red_shell
luigi,6,2,7,5,5,3,bowser,10,0,10,0,6,0,rainbow_road,bowser,1.5,0,5.6000000000000005,8.0,"red_shell, thunderbolt","banana_peel, red_shell"
princess_peach,4,3,6,5,3,4,toad,3,4,4,7,3,4,vanilla_lake,princess_peach,2.4,3.4,6.2,4.15,"red_shell, feather",mushroom
yoshi,4,3,6,5,3,4,princess_peach,4,3,6,5,3,4,choco_island,yoshi,2.3,2.3,4.800000000000001,4.800000000000001,banana_peel,
princess_peach,4,3,6,5,3,4,mario,6,2,7,4,4,3,rainbow_road,princess_peach,2.5,1.5,4.800000000000001,5.6000000000000005,,"star, banana_peel"
princess_peach,4,3,6,5,3,4,yoshi,4,3,6,5,3,4,koopa_beach,princess_peach,2.3,2.3,6.2,6.2,"red_shell, star, red_shell","mushroom, banana_peel"
toad,3,4,4,7,3,4,koopa_troopa,2,4,3,8,1,4,vanilla_lake,toad,3.4,3.4,4.15,3.1,mushroom,"feather, thunderbolt, feather"
luigi,6,2,7,5,5,3,toad,3,4,4,7,3,4,vanilla_lake,luigi,1.4,3.4,7.3,4.15,,star
luigi,6,2,7,5,5,3,princess_peach,4,3,6,5,3,4,rainbow_road,princess_peach,1.5,2.5,5.6000000000000005,4.800000000000001,banana_peel,mushroom
toad,3,4,4,7,3,4,princess_peach,4,3,6,5,3,4,koopa_beach,princess_peach,3.3000000000000003,2.3,4.15,6.2,mushroom,"star, green_shell"
bowser,10,0,10,0,6,0,princess_peach,4,3,6,5,3,4,rainbow_road,princess_peach,0,2.5,8.0,4.800000000000001,star,mushroom
toad,3,4,4,7,3,4,bowser,10,0,10,0,6,0,koopa_beach,bowser,3.3000000000000003,0,4.15,10.5,,mushroom
koopa_troopa,2,4,3,8,1,4,toad,3,4,4,7,3,4,koopa_beach,toad,3.3,3.3000000000000003,3.1,4.15,"star, feather","red_shell, feather"
mario,6,2,7,4,4,3,toad,3,4,4,7,3,4,choco_island,toad,1.3000000000000003,3.3000000000000003,5.6000000000000005,3.2,star,feather
yoshi,4,3,6,5,3,4,princess_peach,4,3,6,5,3,4,donut_plains,Tie,2.2,2.2,4.800000000000001,4.800000000000001,,
yoshi,4,3,6,5,3,4,bowser,10,0,10,0,6,0,rainbow_road,yoshi,2.5,0,4.800000000000001,8.0,"mushroom, red_shell",thunderbolt
yoshi,4,3,6,5,3,4,luigi,6,2,7,5,5,3,donut_plains,yoshi,2.2,1.1999999999999997,4.800000000000001,5.6000000000000005,"mushroom, star","red_shell, star"
princess_peach,4,3,6,5,3,4,bowser,10,0,10,0,6,0,choco_island,princess_peach,2.3,0,4.800000000000001,8.0,"mushroom, green_shell","feather, star"
princess_peach,4,3,6,5,3,4,bowser,10,0,10,0,6,0,rainbow_road,princess_peach,2.5,0,4.800000000000001,8.0,feather,"thunderbolt, red_shell"
koopa_troopa,2,4,3,8,1,4,mario,6,2,7,4,4,3,rainbow_road,koopa_troopa,3.5,1.5,2.4000000000000004,5.6000000000000005,"star, green_shell, mushroom",
donkey_kong_jr,8,1,10,2,10,1,princess_peach,4,3,6,5,3,4,koopa_beach,donkey_kong_jr,0.30000000000000004,2.3,10.4,6.2,"mushroom, star",feather
bowser,10,0,10,0,6,0,toad,3,4,4,7,3,4,koopa_beach,bowser,0,3.3000000000000003,10.5,4.15,"star, mushroom","mushroom, feather, mushroom"
bowser,10,0,10,0,6,0,mario,6,2,7,4,4,3,vanilla_lake,bowser,0,1.4,10.5,7.3,,star
bowser,10,0,10,0,6,0,koopa_troopa,2,4,3,8,1,4,koopa_beach,bowser,0,3.3,10.5,3.1,"thunderbolt, star",
toad,3,4,4,7,3,4,yoshi,4,3,6,5,3,4,rainbow_road,yoshi,3.5,2.5,3.2,4.800000000000001,mushroom,feather
donkey_kong_jr,8,1,10,2,10,1,koopa_troopa,2,4,3,8,1,4,rainbow_road,donkey_kong_jr,0.5,3.5,8.0,2.4000000000000004,,banana_peel
luigi,6,2,7,5,5,3,koopa_troopa,2,4,3,8,1,4,choco_island,luigi,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,"mushroom, red_shell",
bowser,10,0,10,0,6,0,luigi,6,2,7,5,5,3,choco_island,bowser,0,1.3000000000000003,8.0,5.6000000000000005,"thunderbolt, star, red_shell","coin, feather, feather"
yoshi,4,3,6,5,3,4,toad,3,4,4,7,3,4,vanilla_lake,yoshi,2.4,3.4,6.2,4.15,"star, star","red_shell, mushroom"
