Character 1,Character 2,Map,Outcome,Effective Acceleration 1,Effective Acceleration 2,Effective Speed 1,Effective Speed 2,Power-Ups 1,Power-Ups 2
princess_peach,koopa_troopa,donut_plains,princess_peach,2.2,3.2,4.800000000000001,2.4000000000000004,"[['thunderbolt', 'feather']]","[['red_shell', 'feather']]"
donkey_kong_jr,bowser,rainbow_road,donkey_kong_jr,0.5,0,8.0,8.0,[[]],"[['star', 'star', 'red_shell']]"
toad,koopa_troopa,choco_island,toad,3.3000000000000003,3.3,3.2,2.4000000000000004,[['red_shell']],"[['red_shell', 'banana_peel', 'red_shell']]"
mario,donkey_kong_jr,rainbow_road,donkey_kong_jr,1.5,0.5,5.6000000000000005,8.0,"[['thunderbolt', 'mushroom']]",[['mushroom']]
donkey_kong_jr,princess_peach,rainbow_road,donkey_kong_jr,0.5,2.5,8.0,4.800000000000001,"[['star', 'banana_peel']]","[['mushroom', 'feather', 'feather']]"
toad,koopa_troopa,vanilla_lake,toad,3.4,3.4,4.15,3.1,[['star']],[[]]
koopa_troopa,luigi,choco_island,luigi,3.3,1.3000000000000003,2.4000000000000004,5.6000000000000005,[['thunderbolt']],[['star']]
luigi,bowser,choco_island,bowser,1.3000000000000003,0,5.6000000000000005,8.0,"[['feather', 'coin']]","[['star', 'star']]"
toad,luigi,rainbow_road,toad,3.5,1.5,3.2,5.6000000000000005,"[['mushroom', 'mushroom']]",[['banana_peel']]
donkey_kong_jr,toad,vanilla_lake,donkey_kong_jr,0.4,3.4,10.4,4.15,[['star']],"[['red_shell', 'mushroom']]"
bowser,toad,rainbow_road,toad,0,3.5,8.0,3.2,[[]],[[]]
mario,bowser,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,"[['mushroom', 'thunderbolt']]","[['mushroom', 'star']]"
luigi,princess_peach,vanilla_lake,luigi,1.4,2.4,7.3,6.2,[['thunderbolt']],[['star']]
toad,mario,vanilla_lake,mario,3.4,1.4,4.15,7.3,[['star']],[['mushroom']]
mario,bowser,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,[['mushroom']],[[]]
mario,princess_peach,koopa_beach,mario,1.3000000000000003,2.3,7.3,6.2,"[['thunderbolt', 'red_shell']]",[['red_shell']]
mario,bowser,vanilla_lake,bowser,1.4,0,7.3,10.5,[['thunderbolt']],"[['thunderbolt', 'thunderbolt', 'coin']]"
koopa_troopa,bowser,choco_island,bowser,3.3,0,2.4000000000000004,8.0,"[['star', 'thunderbolt', 'red_shell']]",[['feather']]
yoshi,bowser,choco_island,yoshi,2.3,0,4.800000000000001,8.0,[['star']],"[['star', 'coin']]"
donkey_kong_jr,yoshi,koopa_beach,donkey_kong_jr,0.30000000000000004,2.3,10.4,6.2,[['red_shell']],[['thunderbolt']]
koopa_troopa,luigi,rainbow_road,luigi,3.5,1.5,2.4000000000000004,5.6000000000000005,"[['red_shell', 'mushroom']]",[['green_shell']]
toad,luigi,koopa_beach,luigi,3.3000000000000003,1.3000000000000003,4.15,7.3,"[['thunderbolt', 'red_shell', 'mushroom']]",[['feather']]
toad,mario,vanilla_lake,mario,3.4,1.4,4.15,7.3,[[]],[['feather']]
toad,princess_peach,donut_plains,princess_peach,3.1999999999999997,2.2,3.2,4.800000000000001,[['mushroom']],[['thunderbolt']]
mario,donkey_kong_jr,choco_island,donkey_kong_jr,1.3000000000000003,0.30000000000000004,5.6000000000000005,8.0,[[]],[['feather']]
yoshi,bowser,koopa_beach,bowser,2.3,0,6.2,10.5,"[['mushroom', 'feather']]","[['red_shell', 'thunderbolt']]"
luigi,koopa_troopa,choco_island,luigi,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,"[['mushroom', 'coin']]",[['feather']]
koopa_troopa,princess_peach,rainbow_road,princess_peach,3.5,2.5,2.4000000000000004,4.800000000000001,[['feather']],[['red_shell']]
mario,yoshi,koopa_beach,mario,1.3000000000000003,2.3,7.3,6.2,[['banana_peel']],[[]]
mario,yoshi,koopa_beach,mario,1.3000000000000003,2.3,7.3,6.2,"[['thunderbolt', 'red_shell']]",[['star']]
toad,bowser,rainbow_road,toad,3.5,0,3.2,8.0,"[['red_shell', 'feather', 'star']]",[[]]
yoshi,donkey_kong_jr,rainbow_road,donkey_kong_jr,2.5,0.5,4.800000000000001,8.0,[[]],"[['thunderbolt', 'feather']]"
princess_peach,bowser,choco_island,princess_peach,2.3,0,4.800000000000001,8.0,"[['mushroom', 'thunderbolt']]","[['mushroom', 'star']]"
luigi,koopa_troopa,rainbow_road,luigi,1.5,3.5,5.6000000000000005,2.4000000000000004,[['red_shell']],[['feather']]
koopa_troopa,donkey_kong_jr,donut_plains,donkey_kong_jr,3.2,0.19999999999999996,2.4000000000000004,8.0,"[['star', 'thunderbolt']]",[['mushroom']]
yoshi,donkey_kong_jr,choco_island,donkey_kong_jr,2.3,0.30000000000000004,4.800000000000001,8.0,[[]],[['feather']]
luigi,mario,choco_island,luigi,1.3000000000000003,1.3000000000000003,5.6000000000000005,5.6000000000000005,"[['thunderbolt', 'red_shell', 'red_shell']]",[['thunderbolt']]
toad,luigi,donut_plains,toad,3.1999999999999997,1.1999999999999997,3.2,5.6000000000000005,"[['star', 'red_shell']]","[['mushroom', 'feather']]"
luigi,princess_peach,koopa_beach,luigi,1.3000000000000003,2.3,7.3,6.2,[['feather']],[[]]
mario,donkey_kong_jr,rainbow_road,donkey_kong_jr,1.5,0.5,5.6000000000000005,8.0,[['thunderbolt']],[['mushroom']]
yoshi,bowser,rainbow_road,yoshi,2.5,0,4.800000000000001,8.0,[[]],"[['thunderbolt', 'star']]"
bowser,mario,koopa_beach,bowser,0,1.3000000000000003,10.5,7.3,[['thunderbolt']],[['mushroom']]
luigi,yoshi,choco_island,yoshi,1.3000000000000003,2.3,5.6000000000000005,4.800000000000001,"[['thunderbolt', 'mushroom']]","[['star', 'thunderbolt']]"
princess_peach,mario,rainbow_road,princess_peach,2.5,1.5,4.800000000000001,5.6000000000000005,[['thunderbolt']],"[['green_shell', 'mushroom', 'feather']]"
princess_peach,mario,choco_island,princess_peach,2.3,1.3000000000000003,4.800000000000001,5.6000000000000005,"[['star', 'mushroom']]",[['red_shell']]
mario,koopa_troopa,rainbow_road,mario,1.5,3.5,5.6000000000000005,2.4000000000000004,[['feather']],"[['thunderbolt', 'star']]"
yoshi,koopa_troopa,rainbow_road,yoshi,2.5,3.5,4.800000000000001,2.4000000000000004,[['star']],"[['red_shell', 'red_shell']]"
koopa_troopa,toad,rainbow_road,toad,3.5,3.5,2.4000000000000004,3.2,[[]],"[['banana_peel', 'banana_peel']]"
toad,bowser,rainbow_road,toad,3.5,0,3.2,8.0,"[['mushroom', 'mushroom', 'mushroom']]",[['banana_peel']]
koopa_troopa,luigi,rainbow_road,luigi,3.5,1.5,2.4000000000000004,5.6000000000000005,[['thunderbolt']],[['mushroom']]
donkey_kong_jr,toad,choco_island,donkey_kong_jr,0.30000000000000004,3.3000000000000003,8.0,3.2,"[['red_shell', 'mushroom']]","[['thunderbolt', 'red_shell']]"
donkey_kong_jr,princess_peach,donut_plains,donkey_kong_jr,0.19999999999999996,2.2,8.0,4.800000000000001,[['thunderbolt']],[['mushroom']]
mario,toad,donut_plains,toad,1.1999999999999997,3.1999999999999997,5.6000000000000005,3.2,"[['star', 'mushroom']]","[['feather', 'feather']]"
bowser,donkey_kong_jr,rainbow_road,donkey_kong_jr,0,0.5,8.0,8.0,[[]],"[['thunderbolt', 'thunderbolt']]"
yoshi,mario,rainbow_road,yoshi,2.5,1.5,4.800000000000001,5.6000000000000005,"[['mushroom', 'thunderbolt']]","[['red_shell', 'red_shell']]"
koopa_troopa,yoshi,choco_island,yoshi,3.3,2.3,2.4000000000000004,4.800000000000001,"[['star', 'red_shell']]","[['banana_peel', 'mushroom']]"
mario,luigi,rainbow_road,luigi,1.5,1.5,5.6000000000000005,5.6000000000000005,[[]],"[['feather', 'mushroom']]"
princess_peach,toad,vanilla_lake,princess_peach,2.4,3.4,6.2,4.15,[[]],"[['coin', 'coin']]"
mario,bowser,donut_plains,bowser,1.1999999999999997,0,5.6000000000000005,8.0,"[['thunderbolt', 'mushroom', 'thunderbolt']]","[['thunderbolt', 'thunderbolt', 'banana_peel']]"
mario,toad,koopa_beach,mario,1.3000000000000003,3.3000000000000003,7.3,4.15,[['coin']],[['thunderbolt']]
toad,koopa_troopa,rainbow_road,toad,3.5,3.5,3.2,2.4000000000000004,"[['red_shell', 'banana_peel']]",[[]]
mario,princess_peach,koopa_beach,mario,1.3000000000000003,2.3,7.3,6.2,[['feather']],[[]]
donkey_kong_jr,koopa_troopa,vanilla_lake,donkey_kong_jr,0.4,3.4,10.4,3.1,[[]],"[['feather', 'coin', 'green_shell']]"
donkey_kong_jr,luigi,koopa_beach,donkey_kong_jr,0.30000000000000004,1.3000000000000003,10.4,7.3,"[['mushroom', 'feather']]",[['star']]
toad,princess_peach,vanilla_lake,princess_peach,3.4,2.4,4.15,6.2,"[['feather', 'feather']]",[['thunderbolt']]
donkey_kong_jr,yoshi,choco_island,donkey_kong_jr,0.30000000000000004,2.3,8.0,4.800000000000001,"[['mushroom', 'mushroom']]","[['mushroom', 'mushroom']]"
luigi,bowser,koopa_beach,bowser,1.3000000000000003,0,7.3,10.5,[[]],[['red_shell']]
princess_peach,bowser,donut_plains,princess_peach,2.2,0,4.800000000000001,8.0,"[['star', 'red_shell', 'feather']]",[['banana_peel']]
luigi,koopa_troopa,vanilla_lake,luigi,1.4,3.4,7.3,3.1,[['thunderbolt']],[[]]
donkey_kong_jr,yoshi,vanilla_lake,donkey_kong_jr,0.4,2.4,10.4,6.2,"[['coin', 'red_shell', 'green_shell']]",[['mushroom']]
koopa_troopa,bowser,koopa_beach,bowser,3.3,0,3.1,10.5,[['thunderbolt']],"[['mushroom', 'mushroom']]"
koopa_troopa,toad,choco_island,toad,3.3,3.3000000000000003,2.4000000000000004,3.2,[[]],"[['star', 'thunderbolt', 'feather']]"
luigi,koopa_troopa,choco_island,luigi,1.3000000000000003,3.3,5.6000000000000005,2.4000000000000004,"[['thunderbolt', 'coin']]",[[]]
yoshi,princess_peach,vanilla_lake,yoshi,2.4,2.4,6.2,6.2,[['thunderbolt']],[[]]
donkey_kong_jr,bowser,choco_island,donkey_kong_jr,0.30000000000000004,0,8.0,8.0,"[['mushroom', 'thunderbolt']]","[['mushroom', 'thunderbolt']]"
koopa_troopa,princess_peach,vanilla_lake,princess_peach,3.4,2.4,3.1,6.2,[['feather']],[['red_shell']]
donkey_kong_jr,mario,koopa_beach,donkey_kong_jr,0.30000000000000004,1.3000000000000003,10.4,7.3,[['red_shell']],[['star']]
yoshi,luigi,koopa_beach,luigi,2.3,1.3000000000000003,6.2,7.3,[['mushroom']],"[['star', 'feather', 'thunderbolt']]"
luigi,mario,koopa_beach,mario,1.3000000000000003,1.3000000000000003,7.3,7.3,[['thunderbolt']],"[['coin', 'coin']]"
toad,bowser,vanilla_lake,bowser,3.4,0,4.15,10.5,[[]],"[['thunderbolt', 'thunderbolt']]"
toad,mario,vanilla_lake,mario,3.4,1.4,4.15,7.3,"[['star', 'star']]","[['star', 'thunderbolt', 'red_shell']]"
bowser,koopa_troopa,koopa_beach,bowser,0,3.3,10.5,3.1,[['red_shell']],[[]]
donkey_kong_jr,luigi,choco_island,donkey_kong_jr,0.30000000000000004,1.3000000000000003,8.0,5.6000000000000005,[['mushroom']],"[['thunderbolt', 'red_shell']]"
donkey_kong_jr,toad,rainbow_road,donkey_kong_jr,0.5,3.5,8.0,3.2,[['banana_peel']],[['mushroom']]
donkey_kong_jr,bowser,koopa_beach,donkey_kong_jr,0.30000000000000004,0,10.4,10.5,[['thunderbolt']],[[]]
donkey_kong_jr,toad,vanilla_lake,donkey_kong_jr,0.4,3.4,10.4,4.15,[[]],[['star']]
yoshi,bowser,choco_island,yoshi,2.3,0,4.800000000000001,8.0,"[['thunderbolt', 'thunderbolt']]",[['feather']]
luigi,mario,vanilla_lake,Tie,1.4,1.4,7.3,7.3,[['star']],[['star']]
yoshi,donkey_kong_jr,donut_plains,donkey_kong_jr,2.2,0.19999999999999996,4.800000000000001,8.0,"[['red_shell', 'red_shell']]","[['feather', 'red_shell']]"
mario,donkey_kong_jr,vanilla_lake,donkey_kong_jr,1.4,0.4,7.3,10.4,[[]],[['star']]
koopa_troopa,donkey_kong_jr,koopa_beach,donkey_kong_jr,3.3,0.30000000000000004,3.1,10.4,[['thunderbolt']],[['feather']]
mario,donkey_kong_jr,vanilla_lake,donkey_kong_jr,1.4,0.4,7.3,10.4,[['thunderbolt']],[[]]
